worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num,machine_acc_range
5,5,10,0.11484,0.0500940555355623,3.4920000000000004,0.5977155510776008,Crowd-Ensemble,77.76124190446536,10.340378803944203,90.46185638034149,6.399715709771954,78.63427964937905,9.697831561580372,0.0,0.0,0.95,20,1000,20,0.05,4,
5,5,10,0.37404,0.16958148012091415,0.0,0.0,Machines-Ensemble,91.66143766815485,5.657562172008808,14.82139021749497,5.90073971057732,59.91413784486657,10.041343081711148,20.0,0.0,0.95,20,1000,20,0.05,4,"[0.5, 0.8]"
5,5,10,0.18272,0.0561640596823271,2.54838,1.2408173256366144,Hybrid-Ensemble,70.17337956657974,12.53332733162696,70.92492197091849,17.967390781290366,68.44229969205949,9.357372252347723,20.0,0.0,0.95,20,1000,20,0.05,4,"[0.5, 0.8]"
5,5,10,0.5481600000000001,0.1928317774641929,0.0,0.0,Machines-Ensemble,88.65951002741765,9.496832906507061,9.476306120136027,3.786462654583118,48.009423136628136,8.634781694636953,20.0,0.3,0.95,20,1000,20,0.05,4,"[0.5, 0.8]"
5,5,10,0.1619,0.05233440550918679,2.84066,0.9851821681293262,Hybrid-Ensemble,73.07755135757064,12.859956797659823,64.0902726687442,19.265826565483028,70.5817330575703,10.148671689574945,20.0,0.3,0.95,20,1000,20,0.05,4,"[0.5, 0.8]"
5,5,10,0.6721600000000001,0.1578417384597623,0.0,0.0,Machines-Ensemble,93.33896394460169,9.113903792506342,7.527420074367358,2.5431210766806482,44.14946057617789,6.175581352025747,20.0,0.9,0.95,20,1000,20,0.05,4,"[0.5, 0.8]"
5,5,10,0.17722000000000002,0.04875911812163957,2.5488399999999998,0.591623304476759,Hybrid-Ensemble,68.00055680916748,10.756223058218348,72.90208000919642,13.596780846866013,67.83995183041081,8.981810301413065,20.0,0.9,0.95,20,1000,20,0.05,4,"[0.5, 0.8]"
5,5,10,0.12706,0.06294899840346946,5.01176,0.6705046923027459,Crowd-Ensemble,88.3242922274478,6.618740420196052,91.12520618001923,9.167734159056113,88.34576940902927,5.774995815162588,0.0,0.0,0.95,20,1000,20,0.1,4,
5,5,10,0.42,0.15001066628743437,0.0,0.0,Machines-Ensemble,93.42022528707267,5.398348843354428,22.7361262214368,7.6758579397522535,71.04219242134137,7.846564094864047,20.0,0.0,0.95,20,1000,20,0.1,4,"[0.5, 0.8]"
5,5,10,0.23850000000000002,0.09067706435477496,2.9726599999999994,0.724117051587656,Hybrid-Ensemble,77.51844657714848,10.63258992783648,79.96852766357047,9.351118684299726,77.41594255849668,9.330430723603556,20.0,0.0,0.95,20,1000,20,0.1,4,"[0.5, 0.8]"
5,5,10,0.58614,0.13069277103191285,0.0,0.0,Machines-Ensemble,87.07063117133846,8.769284891703565,17.988984394385582,5.671210746436968,62.49131616109031,5.041191949971193,20.0,0.3,0.95,20,1000,20,0.1,4,"[0.5, 0.8]"
5,5,10,0.27638,0.08964036813846761,3.9712599999999996,1.9922991422976624,Hybrid-Ensemble,78.35546172436672,11.185576425084378,69.97762898437641,19.16219540719569,75.68096839528376,7.953077457201039,20.0,0.3,0.95,20,1000,20,0.1,4,"[0.5, 0.8]"
5,5,10,0.7119600000000001,0.12357717588616433,0.0,0.0,Machines-Ensemble,92.09059417147618,11.313466569086904,13.69808541421819,3.636316713953809,58.80984658014722,5.304018748206174,20.0,0.9,0.95,20,1000,20,0.1,4,"[0.5, 0.8]"
5,5,10,0.23937999999999998,0.08311507444501268,3.6511,0.9654139474857404,Hybrid-Ensemble,79.2835428026857,10.273459595861238,76.14166800522851,14.47205548268157,78.25869394350826,8.03573238257714,20.0,0.9,0.95,20,1000,20,0.1,4,"[0.5, 0.8]"
5,5,10,0.16794,0.07503716679086439,6.465979999999999,0.8529001463242929,Crowd-Ensemble,93.09145733463069,4.273655556932539,88.65698648354879,12.360192903371196,92.38150894013444,3.4071987440829115,0.0,0.0,0.95,20,1000,20,0.2,4,
5,5,10,0.49176000000000003,0.11232409536693362,0.0,0.0,Machines-Ensemble,93.29026993620081,4.197895308198765,34.782552433799076,5.6187092771162925,80.55986876903935,4.086452909024045,20.0,0.0,0.95,20,1000,20,0.2,4,"[0.5, 0.8]"
5,5,10,0.24104,0.07883754435546557,4.1233,0.7350557869985108,Hybrid-Ensemble,89.71871234259575,4.806925872160004,83.66340490519525,8.919484828250354,88.94751970475227,3.7870421276690815,20.0,0.0,0.95,20,1000,20,0.2,4,"[0.5, 0.8]"
5,5,10,0.72356,0.0757229582095153,0.0,0.0,Machines-Ensemble,89.00495006354366,7.481790689255594,27.66348173546894,6.791330420305753,72.76474128912457,2.986647714685439,20.0,0.3,0.95,20,1000,20,0.2,4,"[0.5, 0.8]"
5,5,10,0.25058,0.0862086051389303,4.9483999999999995,0.8012148276211568,Hybrid-Ensemble,90.31124821031126,5.237987310043997,78.84577455660886,12.331801117155205,88.72546020160539,3.744858144765319,20.0,0.3,0.95,20,1000,20,0.2,4,"[0.5, 0.8]"
5,5,10,0.7477799999999999,0.07396872041613266,0.0,0.0,Machines-Ensemble,92.19750261863172,9.07735613714235,24.85645256017683,4.665245553814624,72.99476460061231,3.7549687853927014,20.0,0.9,0.95,20,1000,20,0.2,4,"[0.5, 0.8]"
5,5,10,0.23707999999999999,0.07357033097655603,5.25924,1.0115607260070945,Hybrid-Ensemble,91.40826475175722,4.549667864321784,77.63394997650644,13.898592933491019,89.47589259271626,3.3717175850401353,20.0,0.9,0.95,20,1000,20,0.2,4,"[0.5, 0.8]"
5,5,10,0.23966,0.10343647519129798,7.626299999999999,1.126097442497762,Crowd-Ensemble,93.9507294599194,4.117785294299158,85.47398772154449,14.761726093786097,92.7086915715351,3.1788265239100566,0.0,0.0,0.95,20,1000,20,0.3,4,
5,5,10,0.55242,0.13582490051533258,0.0,0.0,Machines-Ensemble,92.80828218137644,3.7643307833797337,46.65084210160337,7.129773964338859,84.84259605186209,3.4883269448901943,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.24156,0.08954823504681708,5.487139999999999,1.700465548136745,Hybrid-Ensemble,95.47061532395414,3.3161871457895886,77.28169718281342,14.57524103006999,92.9336321582943,2.5269821779740353,20.0,0.0,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.8010200000000001,0.17587376040785618,0.0,0.0,Machines-Ensemble,88.52025168339365,8.16644395766901,37.74532051676976,5.478824861365379,78.33385932056345,5.097441945531696,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
5,5,10,0.27770000000000006,0.06688086422886594,6.113159999999999,1.416995290888435,Hybrid-Ensemble,94.14071452110178,3.7730957165360266,76.6831080561562,13.99601193308722,91.74034446843034,2.1514597491696104,20.0,0.3,0.95,20,1000,20,0.3,4,"[0.5, 0.8]"
