items_num,votes_per_item,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseline_items,total_items,expert_cost,theta,filters_num
5,3,10,0.07442,0.10795611886317515,2.37968,0.3977176103719824,Crowd-Ensemble,97.55731765834112,3.615154030171457,99.57923944742294,0.4210764843089419,97.7269885410829,3.331001594566983,0.0,0.0,0.95,20,1000,20,0.3,1
5,3,10,0.18688,0.11717792283531911,0.0,0.0,Machines-Ensemble,99.90652431122292,0.20897401826323173,64.90224214809774,13.972974120365539,94.66927489909689,3.1826911827291755,50.0,0.0,0.95,20,1000,20,0.3,1
5,3,10,0.026919999999999996,0.021697778688151467,2.05616,0.16991543308363719,Hybrid-Ensemble,99.14814456559994,0.7311092113169486,99.42127567994162,0.640591401110168,99.17221936690125,0.6747838725548118,50.0,0.0,0.95,20,1000,20,0.3,1
5,3,10,0.28798,0.1459137402714357,0.0,0.0,Machines-Ensemble,98.69364195685822,0.7756256535550993,57.7656513853269,14.291964275821165,91.95665937794737,3.814804970317013,50.0,0.2,0.95,20,1000,20,0.3,1
5,3,10,0.039819999999999994,0.018289548928281416,2.30306,0.26230923811410073,Hybrid-Ensemble,99.0407106490947,0.7401733601663197,96.52481359730535,3.49169472469654,98.79174153078893,0.5504020901214766,50.0,0.2,0.95,20,1000,20,0.3,1
5,3,10,0.26846,0.11662198935020787,0.0,0.0,Machines-Ensemble,97.53130618834095,1.1843313943296456,62.32010976590499,11.989393406596927,92.3037618317668,3.094800824488305,50.0,0.3,0.95,20,1000,20,0.3,1
5,3,10,0.04456,0.020491129788276684,2.4387000000000003,0.3411543492321328,Hybrid-Ensemble,99.16622262235133,0.6526738719192879,93.93167279491512,4.47012072098338,98.64433065291884,0.6203142916428654,50.0,0.3,0.95,20,1000,20,0.3,1
5,3,10,0.45414,0.13327115366800124,0.0,0.0,Machines-Ensemble,92.56208323408342,3.008881180950783,56.97291548613741,11.37661518014486,87.09900301710742,3.496125009719397,50.0,0.5,0.95,20,1000,20,0.3,1
5,3,10,0.0821,0.04119817957143252,3.1294999999999997,0.7290226402520021,Hybrid-Ensemble,99.16149914214483,0.5543153312287992,84.81718861114307,8.947251483766179,97.55641897628674,1.1968583480432962,50.0,0.5,0.95,20,1000,20,0.3,1
5,3,10,0.61312,0.2570994858026752,0.0,0.0,Machines-Ensemble,86.86467194940998,7.358641148928632,59.10334534795074,15.458571084719663,82.5190408006606,7.2109457582413885,50.0,0.7,0.95,20,1000,20,0.3,1
5,3,10,0.09601999999999998,0.06029842120652911,3.46914,1.2723894688341302,Hybrid-Ensemble,99.22630566125007,0.7689427676618809,83.01805142756737,14.189755967263322,97.17992446120448,1.7406897822405527,50.0,0.7,0.95,20,1000,20,0.3,1
5,3,10,0.8305000000000001,0.284840323690309,0.0,0.0,Machines-Ensemble,80.67592207064622,10.814400512074698,54.215154501193744,14.439501788249617,76.21558176710913,8.449105086358612,50.0,0.9,0.95,20,1000,20,0.3,1
5,3,10,0.11505999999999998,0.07814842544798968,3.8623000000000003,1.4930407663556948,Hybrid-Ensemble,99.24458433913107,0.6458297755347949,80.02287475371332,16.441141174996496,96.68235286712701,2.1851731300619046,50.0,0.9,0.95,20,1000,20,0.3,1
5,3,10,0.0886,0.07360815172248247,3.83424,1.1986638821621347,Crowd-Ensemble,97.77421875413562,1.6547289100100138,95.50926707797754,11.895884329987119,97.35208907521917,2.0962228641075096,0.0,0.0,0.95,20,1000,20,0.3,2
5,3,10,0.15873999999999996,0.12863868935899497,0.0,0.0,Machines-Ensemble,99.72953776063235,0.3197255277840245,71.14107891698832,16.100212979103805,95.5858825614818,3.329891602022943,50.0,0.0,0.95,20,1000,20,0.3,2
5,3,10,0.041800000000000004,0.03206618156251224,2.3137,0.2854457741848703,Hybrid-Ensemble,98.72856074198627,1.0607168501361646,99.0080933472367,0.838383109943904,98.75218126591616,0.959269392975353,50.0,0.0,0.95,20,1000,20,0.3,2
5,3,10,0.22097999999999998,0.09982053696509552,0.0,0.0,Machines-Ensemble,97.79891764257107,1.0570932180236032,67.75401907115443,12.093611976053126,93.65227467754325,2.7795221290341363,50.0,0.2,0.95,20,1000,20,0.3,2
5,3,10,0.05726,0.02724761273946765,2.5636200000000002,0.24692921171866242,Hybrid-Ensemble,98.50019440792715,0.9086771770111659,96.13938120775894,2.138751414322435,98.27523477814324,0.8132947767263887,50.0,0.2,0.95,20,1000,20,0.3,2
5,3,10,0.31902,0.1098478019807406,0.0,0.0,Machines-Ensemble,94.69178858995923,1.9005866435857026,65.4966703012778,11.429131543441796,90.69129800871092,3.1085872910683094,50.0,0.3,0.95,20,1000,20,0.3,2
5,3,10,0.06891999999999998,0.028853311768322197,2.7816400000000003,0.3558556876038375,Hybrid-Ensemble,98.41310355179456,0.9548932232166755,93.20947544917189,3.09573999389066,97.90496010665967,0.8777204867080061,50.0,0.3,0.95,20,1000,20,0.3,2
5,3,10,0.5848599999999999,0.18002299964171245,0.0,0.0,Machines-Ensemble,85.60846174344509,5.264259986340552,64.36099443010335,11.314178519507648,82.79750631769893,5.148982495083629,50.0,0.5,0.95,20,1000,20,0.3,2
5,3,10,0.08184000000000001,0.02538059100966721,3.2557,0.3693111560730328,Hybrid-Ensemble,98.77656961668079,0.6443445500525607,86.91687722398565,4.784014041032112,97.53912232911733,0.7606652855374708,50.0,0.5,0.95,20,1000,20,0.3,2
