Nt,J,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,tests_num,corr,select_conf,baseline_items,total_items,expert_cost
5,3,10,0.13882,0.08813686856248071,2.4444000000000004,1.5787807447521014,Machines-Ensemble,99.46558477295183,0.5018822888866754,73.98546922907809,12.883529294856695,9613.112545811317,241.1146481734956,50,0.0,0.6,20,1000,20
5,3,10,0.04564,0.0340692001667195,2.7383000000000006,0.33718720319727435,Hybrid-Ensemble,98.75640322383347,1.0135943655257558,97.83600207126756,1.4543637065259374,9867.068333383804,99.97165846750947,50,0.0,0.6,20,1000,20
5,3,10,0.38958000000000004,0.0540596300394296,11.922679999999998,1.2794049310519326,Crowd-Ensemble,98.60672479422887,1.0559499824985255,47.42489719586267,5.139586892466514,8965.885410094143,137.8954684088201,50,0.0,0.6,20,1000,20
5,3,10,0.3106,0.10459502856254689,2.36,0.9184508696713178,Machines-Ensemble,93.81515064018073,2.1660717285002726,72.00838471327826,8.529891418451506,9120.067505868097,291.68179399066184,50,0.2,0.6,20,1000,20
5,3,10,0.07194,0.033191812243383155,3.2398000000000002,0.351694299072362,Hybrid-Ensemble,98.27564053817392,0.9531829477458911,94.41182431071718,2.0498664328677996,9790.79386292131,95.31082049343168,50,0.2,0.6,20,1000,20
5,3,10,0.39012,0.06040418528545849,11.778519999999999,1.0859427285082763,Crowd-Ensemble,98.02553208566192,1.0227367041970992,48.85160985624252,7.783528601890881,8959.21914070752,163.98890222128009,50,0.2,0.6,20,1000,20
5,3,10,0.5521,0.1563566755850226,2.69,1.0656021771749529,Machines-Ensemble,86.39972626305847,3.7517418284777517,67.33454732262774,9.499458359319252,8411.121616746446,425.2004293018286,50,0.3,0.6,20,1000,20
5,3,10,0.09956000000000001,0.04165436831834087,3.8250200000000003,0.5350203169974015,Hybrid-Ensemble,97.87994749768146,1.1835226202756979,89.73746101638235,2.9158606688502284,9707.096626965418,119.11181802954574,50,0.3,0.6,20,1000,20
5,3,10,0.36764,0.06916263731235239,11.86548,1.2634034864602837,Crowd-Ensemble,98.31214720175348,1.1288129099689959,49.274363491299226,6.397437541770682,8999.386898579012,198.02300574440105,50,0.3,0.6,20,1000,20
5,3,10,1.1373000000000002,0.3275951922724141,1.8459999999999999,0.5822061490571874,Machines-Ensemble,66.2983585941362,9.75976011687462,69.01276887931667,9.319198848286861,6650.145001554382,962.9632241099239,50,0.5,0.6,20,1000,20
5,3,10,0.13378,0.0526107555543541,4.913659999999999,0.9407530517622571,Hybrid-Ensemble,97.84039105271741,1.271501447656946,82.14682151651323,5.3982923239716465,9613.480217770428,152.70402356873328,50,0.5,0.6,20,1000,20
5,3,10,0.39352,0.06065582906860642,12.187800000000003,1.176928731912005,Crowd-Ensemble,97.58897019358594,1.4367557487973948,49.28079639490075,7.154825463857559,8942.48611338632,161.12674427992275,50,0.5,0.6,20,1000,20
5,3,10,1.8090199999999999,0.42870458313388715,1.5964,0.4875028615300632,Machines-Ensemble,44.19329935816608,13.058241535373478,62.24506657273546,11.565404811058297,4532.601764246183,1303.9388878303673,50,0.7,0.6,20,1000,20
5,3,10,0.19068,0.06972530100329434,6.743219999999999,1.5426513707250904,Hybrid-Ensemble,97.58174724322078,1.2912092657872687,72.88124202397722,7.397323013878465,9457.576714751076,197.88870921138508,50,0.7,0.6,20,1000,20
5,3,10,0.4027200000000001,0.07706206329965479,12.444539999999996,1.2610891357869989,Crowd-Ensemble,97.13332932970981,2.485511273846096,49.470616467540204,7.536577891384697,8911.427211689374,232.10934067542485,50,0.7,0.6,20,1000,20
5,3,10,2.21138,0.4872057015265729,1.1436,0.20875593404739418,Machines-Ensemble,30.518657069810065,15.267905712047234,58.70488436289,14.221069074763063,3180.561070978614,1550.3398764063866,50,0.9,0.6,20,1000,20
5,3,10,0.24816000000000002,0.1252824584688535,8.005560000000001,2.0292127553314856,Hybrid-Ensemble,96.63928910613824,2.9194868575470934,68.48378285190789,9.151982955309382,9301.467179302446,349.81954304432656,50,0.9,0.6,20,1000,20
5,3,10,0.41072000000000003,0.08336235121444212,13.214759999999998,1.4610892999402876,Crowd-Ensemble,97.14187988085924,2.3785088466196314,48.87841998937994,7.2610907531653055,8895.832407287358,230.31245414513316,50,0.9,0.6,20,1000,20
5,3,10,0.13484,0.08882462721565455,2.2888,1.47424915126311,Machines-Ensemble,99.34101909571613,0.6027965581032917,74.81052439059178,11.80546101917922,9620.281904706519,244.1509935426038,50,0.0,0.65,20,1000,20
5,3,10,0.044660000000000005,0.03593027135995497,2.6963600000000003,0.32828090166806845,Hybrid-Ensemble,98.78000113247175,1.1058761689652472,97.74656265552487,1.5068790271534247,9868.349658392248,107.7499489296067,50,0.0,0.65,20,1000,20
5,3,10,0.39680000000000004,0.07129263636589686,11.951119999999996,1.2004876782374736,Crowd-Ensemble,98.44548107424805,1.055181887015546,47.28126784694571,6.983963101748489,8942.866074495025,197.21484457947997,50,0.0,0.65,20,1000,20
5,3,10,0.32798,0.11771771149661381,2.6636,1.241326322930437,Machines-Ensemble,93.72864385721604,2.1402658636570044,69.85684240009999,9.540415025748391,9075.387682117325,308.4320143792139,50,0.2,0.65,20,1000,20
5,3,10,0.0837,0.039939579366838604,3.3080600000000002,0.4482277282810603,Hybrid-Ensemble,97.95350471448708,1.1343849008089126,93.77235437841262,2.3005313476989926,9755.448035169104,116.31690159956769,50,0.2,0.65,20,1000,20
