Nt,J,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,tests_num,corr,select_conf,baseline_items,total_items,expert_cost,theta,filetrs_num
5,3,10,0.32198,0.12225620475051564,0.0,0.0,Machines-Ensemble,94.09547951734098,2.034491176132015,69.36781643270874,11.497374665508378,90.91641188721225,3.332908629555845,50.0,0.2,0.95,20,1000,20,0.3,4
5,3,10,0.11585999999999999,0.07338910273330776,3.6387999999999994,0.6883756823130811,Hybrid-Ensemble,97.50478003710018,2.3531450677100643,89.30493780341396,6.01080434762398,96.63334014790271,2.1196205259073757,50.0,0.2,0.95,20,1000,20,0.3,4
5,3,10,0.52034,0.15886316250156926,0.0,0.0,Machines-Ensemble,87.19610132648337,3.6474927318416484,69.06361824772429,10.099518730530415,85.0245895416923,4.351347127325471,50.0,0.3,0.95,20,1000,20,0.3,4
5,3,10,0.11522000000000002,0.04726152346253768,3.94534,0.867805798782193,Hybrid-Ensemble,97.8984511279417,1.4574726840152972,86.15813106395781,7.061858053012342,96.61426085818103,1.4321353811146427,50.0,0.3,0.95,20,1000,20,0.3,4
5,3,10,1.01636,0.29495259008864455,0.0,0.0,Machines-Ensemble,70.3408583083908,8.653742842937621,69.04345525969788,9.834202660987733,70.1635466688081,8.551218606009028,50.0,0.5,0.95,20,1000,20,0.3,4
5,3,10,0.14100000000000001,0.05797137224527292,4.583060000000001,0.9628213003460196,Hybrid-Ensemble,97.84294157554322,1.7458309877399996,80.9851133840115,7.113982058442041,95.92132617819419,1.708642657755792,50.0,0.5,0.95,20,1000,20,0.3,4
5,3,10,1.5801200000000002,0.5170015334600082,0.0,0.0,Machines-Ensemble,52.55920642557087,16.607981748868816,65.40200185801297,12.429700261313462,53.044309836602935,15.239963738387226,50.0,0.7,0.95,20,1000,20,0.3,4
5,3,10,0.18278,0.08017513080750165,5.4584399999999995,1.2922670491813988,Hybrid-Ensemble,97.58139736902956,2.360538347804212,75.04455579088167,8.835351824588829,94.8097671825726,2.341004466613057,50.0,0.7,0.95,20,1000,20,0.3,4
5,3,10,1.77378,0.5955110171944764,0.0,0.0,Machines-Ensemble,46.06026775774266,23.989757698576074,60.94156942925585,15.716802837092741,45.488597950456544,20.24582198086486,50.0,0.9,0.95,20,1000,20,0.3,4
5,3,10,0.2184,0.10131712589685912,5.576339999999999,1.2651879324432398,Hybrid-Ensemble,96.4214033489346,2.999163823958365,74.46676155443883,10.140757535474512,93.6969549741853,2.946144467304456,50.0,0.9,0.95,20,1000,20,0.3,4
