items_num,votes_per_item,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseline_items,total_items,expert_cost,theta,filetrs_num
5,3,10,0.08748000000000002,0.04668457561122303,2.8779400000000006,0.3555743190951787,Crowd-Ensemble,83.24241417517582,8.40043623906146,93.36374763639562,5.934650940006784,83.96318577236514,7.771471138297457,0.0,0.0,0.95,20,1000,20,0.05,4
5,3,10,0.07334000000000002,0.0712981374230772,0.0,0.0,Machines-Ensemble,99.44076103944293,1.284115265453043,50.17360411872544,18.713445318935378,88.9635488561037,8.857401551873734,50.0,0.0,0.95,20,1000,20,0.05,4
5,3,10,0.06114,0.04747631409450401,1.48108,0.1358417962189841,Hybrid-Ensemble,88.37127791183177,8.957506725541405,94.2721859646619,4.382304121609206,88.79740245023326,8.389659770927297,50.0,0.0,0.95,20,1000,20,0.05,4
5,3,10,0.10582000000000001,0.05533125337456219,0.0,0.0,Machines-Ensemble,94.1483896715939,3.816927953452111,42.512085139964526,13.409284376143924,83.42089805773875,7.3586469805820345,50.0,0.2,0.95,20,1000,20,0.05,4
5,3,10,0.07062,0.04026258312627246,1.60708,0.15409293818991185,Hybrid-Ensemble,86.96132697943885,8.30258142744102,87.3897981054391,5.836939653522562,86.9146346406874,7.692660997730333,50.0,0.2,0.95,20,1000,20,0.05,4
5,3,10,0.15302,0.06266114904787495,0.0,0.0,Machines-Ensemble,87.54284051524974,5.175971175467482,37.02324339369289,11.489361280945444,76.88571822110679,7.4090608735796035,50.0,0.3,0.95,20,1000,20,0.05,4
5,3,10,0.09214,0.04668062124693715,1.71764,0.14321490983832652,Hybrid-Ensemble,83.9530577739285,8.766201520522277,83.17523577489193,6.519319617452321,83.77199177231581,8.100967154789222,50.0,0.3,0.95,20,1000,20,0.05,4
5,3,10,0.22842,0.09724506979790801,0.0,0.0,Machines-Ensemble,70.20413275948201,13.737158064966055,33.75695842566002,14.574899220851242,62.58783661084563,14.077430719032463,50.0,0.5,0.95,20,1000,20,0.05,4
5,3,10,0.08894,0.035902317473945886,2.1071,0.36764772541116036,Hybrid-Ensemble,86.06634179920857,7.503921673060926,67.42454250291337,10.131955109738943,83.63757379366778,6.433643915056252,50.0,0.5,0.95,20,1000,20,0.05,4
5,3,10,0.31552,0.1361148397493822,0.0,0.0,Machines-Ensemble,52.91955519224433,18.023645222495883,34.79293825317837,17.007844701602362,49.13912022080353,16.266863351979925,50.0,0.7,0.95,20,1000,20,0.05,4
5,3,10,0.11065999999999997,0.0484151257356624,2.6293399999999996,0.6429700027217444,Hybrid-Ensemble,86.868114706015,7.383367639222346,55.700148467755724,15.770062216460198,81.78613165642467,7.022799759746466,50.0,0.7,0.95,20,1000,20,0.05,4
