items_num,J,lr,loss_mean,loss_std,price_mean,price_std,alg,recall,precision,f_beta,machine_tests,corr,machine_selec_conf,baseline_items,total_items,expert_vote_cost
5,3,5,0.14076666666666665,0.09973654740810356,0.0,0.0,Machines-Ensemble,0.9928248892897498,0.7231625239554021,0.9301906717769693,50,0.0,0.95,20,1000,0
5,3,5,0.022500000000000003,0.014568802284333467,2.4882,0.18533400479494674,Hybrid-Ensemble,0.9928696344318705,0.9637291704497422,0.9878610731201841,50,0.0,0.95,20,1000,0
5,3,5,0.18273333333333333,0.06809891498564587,4.018433333333333,0.5192417345407521,Crowd-Ensemble,0.966318572414605,0.7078265448557332,0.9068317773157113,50,0.0,0.95,20,1000,0
5,3,5,0.16579999999999998,0.06816665851670693,0.0,0.0,Machines-Ensemble,0.9783598322982789,0.7051396378447571,0.9166154576490487,50,0.1,0.95,20,1000,0
5,3,5,0.03480000000000001,0.014613692209705252,2.5988333333333333,0.16571664236145853,Hybrid-Ensemble,0.989116605414347,0.9440126058548376,0.981241363026241,50,0.1,0.95,20,1000,0
5,3,5,0.20099999999999996,0.08590265808848215,3.9585333333333335,0.5431422608815812,Crowd-Ensemble,0.9663273208155269,0.6872459345169643,0.8999673057975818,50,0.1,0.95,20,1000,0
5,3,5,0.21496666666666667,0.09027494422903597,0.0,0.0,Machines-Ensemble,0.9414015239481592,0.7164342829240465,0.8916445275882158,50,0.2,0.95,20,1000,0
5,3,5,0.0449,0.018719597574022077,2.7261,0.2934800788242136,Hybrid-Ensemble,0.9876397959446366,0.9231988619189823,0.9761348941641932,50,0.2,0.95,20,1000,0
5,3,5,0.18846666666666667,0.07878271101933187,3.939433333333333,0.5792088675272696,Crowd-Ensemble,0.9797199625394649,0.676098807511907,0.9073260110603467,50,0.2,0.95,20,1000,0
5,3,5,0.2783,0.0924969008489834,0.0,0.0,Machines-Ensemble,0.8854573630089112,0.7399392441022961,0.8560640368072804,50,0.3,0.95,20,1000,0
5,3,5,0.057633333333333335,0.019276035784246602,2.8066666666666666,0.33054322292587124,Hybrid-Ensemble,0.9868872922516319,0.8928884159078496,0.969559840642907,50,0.3,0.95,20,1000,0
5,3,5,0.1918333333333333,0.07626929628333774,3.949666666666667,0.6687675895921458,Crowd-Ensemble,0.9685273095403514,0.6958362501849371,0.9046451904315309,50,0.3,0.95,20,1000,0
5,3,5,0.4145333333333333,0.10312766629549781,0.0,0.0,Machines-Ensemble,0.80023867527527,0.7051381228140425,0.7816028883214547,50,0.4,0.95,20,1000,0
5,3,5,0.08306666666666666,0.02656430353354332,3.0219,0.2986130550841116,Hybrid-Ensemble,0.9808960441276316,0.8498462411334552,0.9560775810002582,50,0.4,0.95,20,1000,0
5,3,5,0.18610000000000002,0.07293346282742923,3.9380666666666664,0.4716268251724261,Crowd-Ensemble,0.9718589354277533,0.6940706243970048,0.9070164761677398,50,0.4,0.95,20,1000,0
5,3,5,0.5599000000000001,0.17750593417310495,0.0,0.0,Machines-Ensemble,0.6974250009993941,0.6859867814453671,0.6942526564283933,50,0.5,0.95,20,1000,0
5,3,5,0.10030000000000003,0.030051234029015626,3.3267666666666673,0.4416333081742011,Hybrid-Ensemble,0.9807671048414875,0.8101867387252661,0.946804115104322,50,0.5,0.95,20,1000,0
5,3,5,0.17363333333333333,0.06605325292687879,4.046866666666667,0.5223823461369609,Crowd-Ensemble,0.9696296992045866,0.7135146639618734,0.9113224496997752,50,0.5,0.95,20,1000,0
5,3,5,0.6879000000000002,0.20983840608112395,0.0,0.0,Machines-Ensemble,0.6319136233459298,0.6477798111457088,0.6274906518665585,50,0.6,0.95,20,1000,0
5,3,5,0.11926666666666667,0.045387908326141466,3.527166666666666,0.5858720044135541,Hybrid-Ensemble,0.9802320552572946,0.7792222051004444,0.9386977021830627,50,0.6,0.95,20,1000,0
5,3,5,0.1961333333333333,0.07573890824551291,3.9461,0.5949695426378283,Crowd-Ensemble,0.9665923191463344,0.6930928313828618,0.9019827150490022,50,0.6,0.95,20,1000,0
5,3,5,0.7851333333333332,0.2625972497105702,0.0,0.0,Machines-Ensemble,0.5472397278316894,0.6725655634516928,0.5608752261751171,50,0.7,0.95,20,1000,0
5,3,5,0.13160000000000002,0.05759953703517648,3.7934,0.8761889293982207,Hybrid-Ensemble,0.9808356896843277,0.7585912755590305,0.9332813099086963,50,0.7,0.95,20,1000,0
5,3,5,0.16840000000000005,0.04563302897390587,4.0599333333333325,0.4668297286544159,Crowd-Ensemble,0.9688284965591586,0.7218314200916571,0.9151382558024258,50,0.7,0.95,20,1000,0
5,3,5,0.9079333333333334,0.2396960482685427,0.0,0.0,Machines-Ensemble,0.4770599643893541,0.6228150032218245,0.4805652095540042,50,0.8,0.95,20,1000,0
5,3,5,0.16040000000000001,0.07197990460306729,4.141,0.7032718772518445,Hybrid-Ensemble,0.9682078121760891,0.7372785716814276,0.9171779987023142,50,0.8,0.95,20,1000,0
5,3,5,0.18889999999999996,0.07464286078833439,3.9951999999999996,0.6053551794883176,Crowd-Ensemble,0.9787302148590611,0.6772094985237772,0.9064318222122123,50,0.8,0.95,20,1000,0
5,3,5,1.0180666666666667,0.2821607028312451,0.0,0.0,Machines-Ensemble,0.38425454849342905,0.6394196604232322,0.40388587235249723,50,0.9,0.95,20,1000,0
5,3,5,0.1556666666666667,0.06627887211539503,4.500366666666667,0.9617299511239571,Hybrid-Ensemble,0.9760432386910639,0.7272504051972936,0.9214736041192866,50,0.9,0.95,20,1000,0
