worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num
5,5,10,0.4388600000000001,0.14173948073843082,10.414200000000001,2.4974908688521764,Crowd-Ensemble,97.29224001903953,2.9716347656115314,49.128104927503706,13.132489377192297,88.32964070800958,3.357671764616341,0.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.10836,0.06273747205618027,0.0,0.0,Machines-Ensemble,99.34874305676831,0.5691961564589739,78.74239431355063,10.329782171383092,96.87258426514923,1.7980199068021678,50.0,0.0,0.6,20,1000,20,0.3,4
5,5,10,0.13254000000000002,0.11026753103248481,4.0827,2.0258446658122633,Hybrid-Ensemble,98.24380296188687,2.088361421392255,83.12527377744378,13.814549065373901,96.21674109563406,2.830576989034351,50.0,0.0,0.6,20,1000,20,0.3,4
5,5,10,0.33866,0.1384497901768002,0.0,0.0,Machines-Ensemble,93.72225202238612,2.936713814100226,69.5862745151254,12.933772294435153,90.4833789511715,3.6784250204002342,50.0,0.2,0.6,20,1000,20,0.3,4
5,5,10,0.16622,0.07587787292748789,4.5723199999999995,1.3016444589825595,Hybrid-Ensemble,97.43983475940597,1.91943557461249,79.3549273406473,10.463740134237854,95.24566684908149,2.07871266366914,50.0,0.2,0.6,20,1000,20,0.3,4
5,5,10,0.53102,0.22643422797801574,0.0,0.0,Machines-Ensemble,87.36157566008825,5.918006835754111,68.33241903337176,13.40863171142274,84.91260560827115,6.237073741147062,50.0,0.3,0.6,20,1000,20,0.3,4
5,5,10,0.21392,0.08596576993199097,5.11776,1.4672711073281581,Hybrid-Ensemble,96.42010079600837,2.7942888869803864,76.5697140673165,11.399450015753875,93.89688317652384,2.4025611213232647,50.0,0.3,0.6,20,1000,20,0.3,4
5,5,10,1.0907,0.32471970990378757,0.0,0.0,Machines-Ensemble,68.92999269500416,10.60853505235151,62.834925573410516,14.391930087240638,67.93799156690669,9.797337330132246,50.0,0.5,0.6,20,1000,20,0.3,4
5,5,10,0.25552,0.10110771286108694,5.94562,1.741282445670432,Hybrid-Ensemble,95.83705638201445,2.85522352641761,71.6873404118728,11.916826929078706,92.65267775514641,2.9308565388109504,50.0,0.5,0.6,20,1000,20,0.3,4
5,5,10,1.4613399999999999,0.509166322924052,0.0,0.0,Machines-Ensemble,57.17021603263044,17.390603423130067,63.87702661384101,17.970367667970493,56.93415572027015,15.701288741128673,50.0,0.7,0.6,20,1000,20,0.3,4
5,5,10,0.24778,0.10651202561213453,6.142939999999999,1.53324898708592,Hybrid-Ensemble,96.34491402824523,2.781624061670519,70.72965254970985,9.457591095031153,93.06624723475805,2.8677963421381785,50.0,0.7,0.6,20,1000,20,0.3,4
5,5,10,1.77124,0.6458946527104865,0.0,0.0,Machines-Ensemble,46.50892581233061,23.14697328556177,61.1039196856268,19.143311269370002,46.249664641878454,20.539733869554208,50.0,0.9,0.6,20,1000,20,0.3,4
5,5,10,0.3019,0.12604669769573498,6.70496,2.015252509835926,Hybrid-Ensemble,95.3525560419449,3.8165380496193246,67.58649183803702,12.90748642943734,91.46297626929605,3.5923917413116992,50.0,0.9,0.6,20,1000,20,0.3,4
5,5,10,0.1411,0.10933787084080245,0.0,0.0,Machines-Ensemble,99.24994365612118,0.7060137581369209,75.18544454436552,13.770290756358026,96.07388244357067,2.854604933858702,50.0,0.0,0.65,20,1000,20,0.3,4
5,5,10,0.14150000000000001,0.11368258441819486,4.37848,2.05736220671033,Hybrid-Ensemble,98.43846303306907,2.125090582665921,80.89419458915705,15.533693069575364,96.02899820656258,3.0415317937069584,50.0,0.0,0.65,20,1000,20,0.3,4
5,5,10,0.34612000000000004,0.13213411974202577,0.0,0.0,Machines-Ensemble,93.66644561883615,2.8187847938168877,68.74712774930103,12.268148300272474,90.36504606198336,3.5282961018274985,50.0,0.2,0.65,20,1000,20,0.3,4
5,5,10,0.17484,0.08496384172105213,4.69852,1.6166119291901813,Hybrid-Ensemble,97.32426575742363,2.149301429131563,79.8500571089155,12.892960617148267,95.0817947023908,2.2480203910041974,50.0,0.2,0.65,20,1000,20,0.3,4
5,5,10,0.53496,0.20914826893856903,0.0,0.0,Machines-Ensemble,87.29586759751867,6.139850117459318,68.43561823200484,13.304342069109058,84.8232650592393,5.944495791647987,50.0,0.3,0.65,20,1000,20,0.3,4
5,5,10,0.21208,0.11482244379911098,5.05288,1.8576220997824073,Hybrid-Ensemble,96.45147549108243,3.4335567567155194,77.48663485380352,11.965146480757328,93.97841664088037,3.1598856858913424,50.0,0.3,0.65,20,1000,20,0.3,4
5,5,10,1.06758,0.38490430447060475,0.0,0.0,Machines-Ensemble,69.46012239052816,13.072466600404319,66.05462889774441,15.164575694380295,68.58106653519481,11.56390908881729,50.0,0.5,0.65,20,1000,20,0.3,4
5,5,10,0.24173999999999998,0.09088824126365301,5.411819999999999,1.2423989164515559,Hybrid-Ensemble,95.41458343184826,2.9371169648187463,75.58620692193843,8.548893074274348,93.0352600505119,2.6126404866383477,50.0,0.5,0.65,20,1000,20,0.3,4
5,5,10,1.52464,0.5144106826262456,0.0,0.0,Machines-Ensemble,54.80429304223185,19.075293559720194,63.44124950674087,17.757958500204396,54.34909436149571,16.20679720884455,50.0,0.7,0.65,20,1000,20,0.3,4
5,5,10,0.27385999999999994,0.10392555219963952,6.27874,1.5849540663375705,Hybrid-Ensemble,95.69307921403214,3.1277577376115464,69.04075405565713,9.59154868525091,92.21240248282065,2.982349510510152,50.0,0.7,0.65,20,1000,20,0.3,4
5,5,10,1.7109199999999998,0.6301805404802658,0.0,0.0,Machines-Ensemble,49.26710587326474,23.09227440174334,59.92867997169759,19.76553540575078,48.57760916165722,20.30033919706998,50.0,0.9,0.65,20,1000,20,0.3,4
5,5,10,0.29488000000000003,0.10967199095484681,6.781139999999999,1.6895533375422036,Hybrid-Ensemble,95.58915882302837,3.3602595820312455,66.51721336652955,10.25375230201544,91.66697943331076,3.15817447715348,50.0,0.9,0.65,20,1000,20,0.3,4
