worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num
5,5,10,0.20726,0.060802897957252,6.96838,0.6560746875165967,Crowd-Ensemble,95.2324607752184,2.339932841761604,84.56260469749299,10.748231549087434,93.93642764555733,1.8153461995128308,0.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.5771000000000001,0.09560883850356096,0.0,0.0,Machines-Ensemble,95.0247522124284,2.9181927106350045,40.80361268990846,4.09853729198851,84.62565055640387,2.477332907335653,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.22466,0.05563977354375195,5.1211199999999995,0.9204144857617138,Hybrid-Ensemble (NBayes),95.2307227599494,2.588938059395349,80.22603062236925,10.204764900690176,93.4067871521262,1.600584132524812,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.24886000000000003,0.07779074752179721,6.352339999999999,1.6310887481679222,Hybrid-Ensemble (Regression),96.62814855752308,2.588938059395349,80.22603062236925,10.204764900690176,93.4067871521262,1.600584132524812,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.7111,0.11245803661810926,0.0,0.0,Machines-Ensemble,89.94417704370272,4.113694751200135,41.73997718880277,5.501998805835236,81.13154504627555,3.0964091403684955,50.0,0.2,0.95,20,1000,20,0.3,4
5,5,10,0.21396,0.0584824623284622,5.4939599999999995,1.0780843187803077,Hybrid-Ensemble (NBayes),96.09356239421044,2.250182890896331,78.02557563411102,10.065885368723247,93.87029548649878,1.615801221140502,50.0,0.2,0.95,20,1000,20,0.3,4
5,5,10,0.26302,0.1041705313416419,6.762699999999999,1.9647636117355187,Hybrid-Ensemble (Regression),96.44293789575708,2.250182890896331,78.02557563411102,10.065885368723247,93.87029548649878,1.615801221140502,50.0,0.2,0.95,20,1000,20,0.3,4
5,5,10,0.8675200000000001,0.18440664196281,0.0,0.0,Machines-Ensemble,85.17751576981117,8.600579754010264,39.68607067207647,4.8358703595885135,76.716042558226,5.771014772448411,50.0,0.3,0.95,20,1000,20,0.3,4
5,5,10,0.23170000000000002,0.06440970423779323,5.67484,0.7665201722068375,Hybrid-Ensemble (NBayes),95.43438587980589,2.762366428484873,77.48668774453408,8.35705448830382,93.30305355270329,1.9734598378843096,50.0,0.3,0.95,20,1000,20,0.3,4
5,5,10,0.24606000000000003,0.07178562808807902,6.74198,1.2833505131490772,Hybrid-Ensemble (Regression),96.207060342321,2.762366428484873,77.48668774453408,8.35705448830382,93.30305355270329,1.9734598378843096,50.0,0.3,0.95,20,1000,20,0.3,4
5,5,10,1.15822,0.38700347750375574,0.0,0.0,Machines-Ensemble,74.29644335123275,16.416853191571317,40.48046769002192,5.8892849556443885,68.05481204637857,11.964155892415944,50.0,0.5,0.95,20,1000,20,0.3,4
5,5,10,0.24402000000000001,0.07881712758024109,6.342820000000001,1.5701665095141981,Hybrid-Ensemble (NBayes),96.49812155379328,2.468508998573005,71.83356063581431,12.682093853519673,93.11826291259348,2.060611790266492,50.0,0.5,0.95,20,1000,20,0.3,4
5,5,10,0.26596,0.1277848128691356,7.024719999999999,2.0652907305268187,Hybrid-Ensemble (Regression),96.01723032446556,2.468508998573005,71.83356063581431,12.682093853519673,93.11826291259348,2.060611790266492,50.0,0.5,0.95,20,1000,20,0.3,4
5,5,10,1.5413999999999999,0.5315685844742897,0.0,0.0,Machines-Ensemble,59.24853788595052,22.729728635255523,43.280713367513215,8.252382576447442,55.52913602690695,17.510211265899596,50.0,0.7,0.95,20,1000,20,0.3,4
5,5,10,0.26876,0.05464011713018193,6.84812,1.3196212583919675,Hybrid-Ensemble (NBayes),96.48361100334776,1.9742490101335217,67.05556224733978,10.675702005052283,92.45506189634156,1.4218581914864987,50.0,0.7,0.95,20,1000,20,0.3,4
5,5,10,0.25551999999999997,0.11122719811269184,6.9684800000000005,1.9623283235992897,Hybrid-Ensemble (Regression),95.78670690087417,1.9742490101335217,67.05556224733978,10.675702005052283,92.45506189634156,1.4218581914864987,50.0,0.7,0.95,20,1000,20,0.3,4
5,5,10,1.70026,0.7904664903713503,0.0,0.0,Machines-Ensemble,54.39853255125694,33.99716292269447,43.05801943083019,12.503117325834449,49.20873161720287,26.54061066581341,50.0,0.9,0.95,20,1000,20,0.3,4
5,5,10,0.26686000000000004,0.06791318281453167,6.7851,1.4086000177481186,Hybrid-Ensemble (NBayes),96.27824627730932,2.4735035163172774,68.31504777612301,12.769585991086439,92.4014307310883,1.9145931376240237,50.0,0.9,0.95,20,1000,20,0.3,4
5,5,10,0.26892000000000005,0.1355169125976533,7.2728,2.3701613784719386,Hybrid-Ensemble (Regression),96.0284084672188,2.4735035163172774,68.31504777612301,12.769585991086439,92.4014307310883,1.9145931376240237,50.0,0.9,0.95,20,1000,20,0.3,4
