worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num
5,5,10,0.22376000000000001,0.08904393522301224,7.944580000000001,1.0852813476698104,Crowd-Ensemble,95.71640433314536,3.21084650143263,79.04520654521428,13.25774422551409,93.52566418546499,2.535091817164964,0.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.15625999999999998,0.11828200370301477,0.0,0.0,Machines-Ensemble,98.97399673894031,1.0137080560768308,73.8491940698466,13.233866538591029,95.66308742222405,3.0735586574921756,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.25668,0.1528060784131312,4.8652,1.7012313775615588,Hybrid-Ensemble,93.72414925128734,5.545366423601494,87.11821999570613,15.377866643605016,92.55188422719806,4.475390792762188,50.0,0.0,0.95,20,1000,20,0.3,4
5,5,10,0.27120000000000005,0.11191979270888595,0.0,0.0,Machines-Ensemble,95.21680104628595,2.566137004873385,72.02571072611495,10.325409136347638,92.30382156126949,3.0837989208510965,50.0,0.2,0.95,20,1000,20,0.3,4
5,5,10,0.18151999999999993,0.08926213979061896,4.55756,1.0718224323086358,Hybrid-Ensemble,95.40475258342208,2.940683573602691,89.92445714272924,9.568424449326407,94.71183229238099,2.5742577532084834,50.0,0.2,0.95,20,1000,20,0.3,4
5,5,10,0.52628,0.20136464833728882,0.0,0.0,Machines-Ensemble,87.67380479927466,5.890249694261826,67.68219247249407,12.603341617552442,85.06266763628744,5.72479994871624,50.0,0.3,0.95,20,1000,20,0.3,4
5,5,10,0.22448000000000004,0.10175917452495377,5.302940000000001,1.2462835377232582,Hybrid-Ensemble,94.64545777825565,3.6928558372477895,86.20479950144973,12.387396777601358,93.50246749515594,2.9928539060700534,50.0,0.3,0.95,20,1000,20,0.3,4
5,5,10,1.045,0.3664797948045704,0.0,0.0,Machines-Ensemble,70.35133934551828,13.051248631127322,65.20863272954858,12.448278538702457,69.32332434360175,11.272680613616334,50.0,0.5,0.95,20,1000,20,0.3,4
5,5,10,0.25194,0.08353619814188339,5.64038,1.3006670733127674,Hybrid-Ensemble,93.92357493662132,3.2973374617041165,84.03589981216888,11.413934732467302,92.66021934079579,2.5223727206464273,50.0,0.5,0.95,20,1000,20,0.3,4
5,5,10,1.4441599999999999,0.5936577249560558,0.0,0.0,Machines-Ensemble,59.70519617018888,23.70775467495954,58.30019098354728,16.719453060603232,57.435357020204826,18.692007478620933,50.0,0.7,0.95,20,1000,20,0.3,4
5,5,10,0.28346,0.10643649937873755,6.09798,1.214439467244045,Hybrid-Ensemble,93.2325861470446,4.161077540923952,82.13046935115963,10.908807877114537,91.82787625219487,3.0901133189226693,50.0,0.7,0.95,20,1000,20,0.3,4
5,5,10,1.8606199999999995,0.6038742879109857,0.0,0.0,Machines-Ensemble,43.3248840586083,22.174178452536953,62.79946182110306,15.931049758294877,43.463114397697225,19.386554984787278,50.0,0.9,0.95,20,1000,20,0.3,4
5,5,10,0.31082,0.15779476417169233,6.2675,1.5376083148838655,Hybrid-Ensemble,92.79983744091591,5.256526127507328,79.33410008447731,11.1986880714605,91.0777252849924,4.557037056116522,50.0,0.9,0.95,20,1000,20,0.3,4
