worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num
5,5,5,0.3626,0.15907645960355038,3.4690400000000006,1.1271465203778965,Crowd-Ensemble,97.30516007259324,2.732974601710284,52.58821823201092,13.926412045665016,83.80915179713304,5.707918486359056,0.0,0.0,0.95,20,1000,20,0.3,4
5,5,5,0.15718,0.09904477573299866,0.0,0.0,Machines-Ensemble,98.50623364651835,1.4036357930320442,71.43087091677073,12.433274393003614,92.17379097941568,4.492000684417696,20.0,0.0,0.95,20,1000,20,0.3,4
5,5,5,0.11588,0.08846731373789983,2.70922,0.41509956829657146,Hybrid-Ensemble,97.93016078586581,1.8501162260263504,81.5268183810064,13.660795592471196,94.12454019784302,3.9341594790191703,20.0,0.0,0.95,20,1000,20,0.3,4
5,5,5,0.28298,0.1396639524000377,0.0,0.0,Machines-Ensemble,91.88529018924125,5.131096336285827,67.16942725280494,12.254321591082432,86.10134034023653,6.282973052993733,20.0,0.2,0.95,20,1000,20,0.3,4
5,5,5,0.14552,0.07884547926165456,2.9956400000000003,0.5661141142914562,Hybrid-Ensemble,96.5044388359347,2.6000655333167133,79.74220018887924,12.731581807583542,92.69408870223319,3.5006745565762833,20.0,0.2,0.95,20,1000,20,0.3,4
5,5,5,0.35789999999999994,0.15364455733933435,0.0,0.0,Machines-Ensemble,85.9334680650701,8.23415690654211,68.01527442920849,12.219296086074957,81.7872812598811,7.605481625250433,20.0,0.3,0.95,20,1000,20,0.3,4
5,5,5,0.1487,0.07650758132368321,3.0275600000000003,0.4797300974506394,Hybrid-Ensemble,96.86661026165126,2.4056885710964235,77.41241968918096,11.78902156669143,92.50777824653628,3.4796230894345594,20.0,0.3,0.95,20,1000,20,0.3,4
5,5,5,0.52018,0.19178995698419665,0.0,0.0,Machines-Ensemble,75.13346780414513,12.423653849710899,68.44326778285219,17.04773045026395,72.61290821445412,10.254124811364271,20,0.5,0.95,20,1000,20,0.3,4
5,5,5,0.14976,0.06149749913614374,3.1995400000000003,0.5349718575775739,Hybrid-Ensemble,96.28843545767299,2.4310608742422297,77.62993815373889,9.74676428715077,92.25562580350578,2.928664685394249,20,0.5,0.95,20,1000,20,0.3,4
5,5,5,0.78498,0.19565495035904407,0.0,0.0,Machines-Ensemble,60.61114479239116,21.70505722689072,61.56680216870923,16.835429037357354,57.59949157687061,13.874681396784007,20,0.7,0.95,20,1000,20,0.3,4
5,5,5,0.20056000000000002,0.07776275715276562,3.41074,0.6328693328010135,Hybrid-Ensemble,95.34674812768519,3.6305756713170627,71.55508817173703,10.414765072624835,89.90728015161895,3.6511351911922123,20,0.7,0.95,20,1000,20,0.3,4
5,5,5,0.9203600000000001,0.3004326054209163,0.0,0.0,Machines-Ensemble,52.54331659445065,27.511397796767564,59.26041662150127,20.01967001383536,49.57610691283533,20.281643011008203,20,0.9,0.95,20,1000,20,0.3,4
5,5,5,0.21903999999999996,0.0946614937553808,3.6544,0.8927594076793591,Hybrid-Ensemble,94.8390078174573,4.218761218867268,70.73738249191811,11.89609065426255,89.13172169045215,4.2430724527105825,20,0.9,0.95,20,1000,20,0.3,4
