worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num,label
5,5,10,0.11318399999999999,0.04438125442120806,5.450412,0.37695505389369693,Crowd-Ensemble,97.95310699322395,1.828602490668928,84.53796411076735,10.359364375684235,96.38363874461865,1.4204511903360462,0.0,0.0,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.144168,0.10788576447335395,0.0,0.0,Machines-Ensemble,99.15208695704689,0.6156557407177753,72.73156418703178,13.002935261409151,95.59343719056322,3.0226786812411737,50.0,0.0,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.06758800000000001,0.05883942093528794,2.2379040000000003,0.7548241959449896,Hybrid-Ensemble,98.41882162611229,2.1751891083691715,92.76289473844763,5.749694579036153,97.82718741989034,1.8908204779010045,50.0,0.0,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.293176,0.13199679777934006,0.0,0.0,Machines-Ensemble,94.34449583488892,2.8036387940475698,68.8118888671904,12.558199110298533,90.9270534980794,3.9050375071390766,50.0,0.2,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.09205599999999999,0.04058021271506595,2.488736,0.7028680393245946,Hybrid-Ensemble,97.77766582735745,1.6035612096606255,90.66336740937997,5.561592066686148,97.0372054238218,1.3242898667261374,50.0,0.2,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.48546800000000007,0.1744703555793935,0.0,0.0,Machines-Ensemble,88.49970546898152,4.976294140920915,64.0583996132849,15.09621802230928,84.93945875442077,5.207652124890715,50.0,0.3,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.13724,0.057901309138913254,2.75012,0.7435987197406945,Hybrid-Ensemble,96.50707109455068,2.2474170101536366,87.79793369663894,6.6150169626466875,95.57127591247055,1.9000090132918375,50.0,0.3,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.7402200000000001,0.29668577653807404,0.0,0.0,Machines-Ensemble,78.68965995971799,12.762619074468045,66.27697482202248,16.774033850334263,76.26016094391393,10.093718562797303,50.0,0.5,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.143096,0.07099947312480565,2.99344,0.7400064518637659,Hybrid-Ensemble,96.67873783103174,2.560016779054425,84.85505219798505,7.131613747012925,95.39048359798326,2.309119003788095,50.0,0.5,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,1.3732280000000001,0.4930074417450511,0.0,0.0,Machines-Ensemble,56.45422397303906,21.094626342921124,57.4082771340542,16.983245886052973,55.01455524275887,17.162912204771448,50.0,0.7,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.200292,0.09019823687855544,4.261836,1.0950572687782132,Hybrid-Ensemble,95.95224751019676,2.918798306197421,76.72749504140758,10.27548615792638,93.63993260148523,2.870006206058243,50.0,0.7,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,1.352304,0.6029667748591128,0.0,0.0,Machines-Ensemble,58.415236404190345,27.037918229372394,58.907495698192946,20.58545584939658,55.6451591442316,21.649103184062266,50.0,0.9,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.20732,0.11159886737776509,4.114848,1.3344350352475014,Hybrid-Ensemble,95.4844011668725,3.526331829366817,78.94527572602401,12.378410969851187,93.44577332699637,3.527532739201587,50.0,0.9,0.95,20,5000,20,0.3,4,High Select/High Acc
5,5,10,0.56064,0.08262018155390365,12.764084,0.9168265119116049,Crowd-Ensemble,93.17190905225463,5.4929419553736984,42.80203564251178,7.086052946987583,83.59347762580502,2.736932100264113,0.0,0.0,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.16534,0.12664837780248117,0.0,0.0,Machines-Ensemble,99.09431962470664,0.7767228277729714,70.37189187427128,15.55739720686428,94.99583885536406,3.6213811361139623,50.0,0.0,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.36264,0.11978657687737804,8.776384,2.123345607983778,Hybrid-Ensemble,98.65314808510611,1.765851210738826,48.28221749868953,10.710165380854201,89.44325435743166,3.1311574490880267,50.0,0.0,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.32413600000000004,0.14028465027935166,0.0,0.0,Machines-Ensemble,93.88898496842202,3.325335634319728,65.46632754983212,11.655599469747909,90.03760525465063,4.064473922157752,50.0,0.2,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.40069999999999995,0.0791938103641945,9.348236,1.460621395264358,Hybrid-Ensemble,98.1958223361017,1.3708976972803981,45.28257974651088,7.696087668446229,88.39346436880409,2.001433013287291,50.0,0.2,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.49154,0.17302980205733345,0.0,0.0,Machines-Ensemble,87.98388249739536,5.6835703510432545,63.53527403485418,10.873154877032565,84.7032545068044,5.370436262033674,50.0,0.3,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.40486400000000006,0.0828340069295214,9.54242,1.6211985138162448,Hybrid-Ensemble,98.01939034279964,1.7492531861885094,45.374809058902294,7.6093365288276,88.26871541404961,2.065474750841151,50.0,0.3,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.9168759999999999,0.34255386470451615,0.0,0.0,Machines-Ensemble,72.8070431739977,13.3067439192192,59.815863286005296,13.368989790693849,70.74720029190348,11.389845942729163,50.0,0.5,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.43266800000000005,0.08432399051278348,9.922892000000001,1.7329555882180014,Hybrid-Ensemble,97.02327278342234,2.3633620362259675,45.12126231755106,8.185910889654851,87.3827522387564,2.2412644630765453,50.0,0.5,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,1.25744,0.48318252286273766,0.0,0.0,Machines-Ensemble,60.230533297239134,20.17984543265654,59.87201636034823,18.86527178727203,58.776471020113995,16.862943643861627,50.0,0.7,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.46435200000000004,0.09703986446816587,10.470260000000001,2.0043153896530357,Hybrid-Ensemble,96.77044633231827,2.519680961521848,43.474845594812194,9.181393866262464,86.49848816804233,2.593115446781871,50.0,0.7,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,1.4441599999999999,0.6452836424395089,0.0,0.0,Machines-Ensemble,55.08289271404222,28.62640392838261,56.624363997314184,21.045623869302986,52.31231632342603,23.161899003965758,50.0,0.9,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.480848,0.09513375476664421,10.732548000000001,1.7794319047651135,Hybrid-Ensemble,96.24402983631721,3.3190797890656656,42.75101561745949,7.362873763115126,86.01626625355532,2.699510638618329,50.0,0.9,0.95,20,5000,20,0.3,4,High Select/Low Acc
5,5,10,0.2145,0.10866120742933055,7.2948640000000005,0.8523523998347161,Crowd-Ensemble,95.99770172796923,3.0922700350677736,87.16471430393369,11.553841511700634,94.90585454635851,2.6200894199319023,0.0,0.0,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.158432,0.09032437863611352,0.0,0.0,Machines-Ensemble,98.93736737834718,0.8392061981423585,77.25320740873715,9.892176989029013,96.32488117784051,2.0567834517873624,50.0,0.0,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.11615599999999998,0.09184414877388762,3.4874959999999997,1.8226669366573804,Hybrid-Ensemble,98.57641382224814,1.3182833429446397,88.56402529936676,12.801964495042965,97.28668470090763,2.012714329991468,50.0,0.0,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.36504400000000004,0.11687527225208932,0.0,0.0,Machines-Ensemble,93.87384194403252,2.323448326884213,74.81960694228059,10.121133000061214,91.55096607046158,2.5888398048846786,50.0,0.2,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.144248,0.06256614496674699,3.5273159999999995,1.1571592824430008,Hybrid-Ensemble,97.50581852375724,1.6087090954017282,89.75627065971419,9.099086542893122,96.6071735196697,1.4176690045159732,50.0,0.2,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.548084,0.22045422958972685,0.0,0.0,Machines-Ensemble,89.35349798052961,5.712714395182984,72.18888593982554,11.396525858700778,87.18184894719539,5.177726690515572,50.0,0.3,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.162796,0.05924565118217539,3.861348,0.9959029533523835,Hybrid-Ensemble,97.15005409094421,1.8009710940333619,88.05809584098759,8.320200794480828,96.13777914707252,1.4286919198040067,50.0,0.3,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,1.1761720000000002,0.4818532905522178,0.0,0.0,Machines-Ensemble,72.22160213914897,13.5245761922644,72.28381903036384,12.902242987207087,71.74323050611908,11.986233274270774,50.0,0.5,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,0.19268000000000005,0.07348347297181863,4.549816,1.2153196575979508,Hybrid-Ensemble,96.97243967009057,1.973282027587245,83.61722991504405,8.032271006905438,95.47404731310573,1.704747080692373,50.0,0.5,0.95,20,5000,20,0.3,4,Low Select/High Acc
5,5,10,1.5638360000000002,0.6923119189382774,0.0,0.0,Machines-Ensemble,62.61233287158605,20.635247822733316,71.57325362208378,16.991205697138767,62.04494622238704,17.647401711043468,50.0,0.7,0.95,20,5000,20,0.3,4,Low Select/High Acc
