worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filters_num
5,5,10,0.18448000000000003,0.12550127330031358,0.0,0.0,Machines-Ensemble,99.84573442561779,0.24378786051671675,66.02351994373701,14.330493631554107,94.8346092661839,3.19319468635793,50.0,0.0,0.95,20,1000,20,0.3,1
5,5,10,0.064,0.04063003814913296,2.3016400000000004,0.5150186311193024,Hybrid-Ensemble,98.15279733990481,1.3837320316760906,97.22473519496361,2.420467682483399,98.05942109299822,1.2262974611479973,50.0,0.0,0.95,20,1000,20,0.3,1
5,5,10,0.25311999999999996,0.1380936841423242,0.0,0.0,Machines-Ensemble,98.9046619365353,0.9731733286118566,61.17639263114106,15.175196596663708,92.92834712674028,3.5771830038083334,50.0,0.2,0.95,20,1000,20,0.3,1
5,5,10,0.08141999999999999,0.03950143794851018,2.4999400000000005,0.4393580958625891,Hybrid-Ensemble,97.77836959413317,1.4563945444979822,95.2656379416766,4.086195991693573,97.5217097655525,1.207874441688421,50.0,0.2,0.95,20,1000,20,0.3,1
5,5,10,0.34162,0.12877311675967154,0.0,0.0,Machines-Ensemble,97.44470475255962,1.5132590176816472,55.03108568294423,12.36857096796816,90.41865408168367,3.327564956667883,50.0,0.3,0.95,20,1000,20,0.3,1
5,5,10,0.10426,0.037869148392854046,2.88608,0.7223982790677177,Hybrid-Ensemble,97.55228820272755,1.4476743356420905,91.06310994226797,7.82748258450032,96.83333160314201,1.155613379778553,50.0,0.3,0.95,20,1000,20,0.3,1
5,5,10,0.46547999999999995,0.1712683555126282,0.0,0.0,Machines-Ensemble,93.85551047558648,4.18753462705977,55.03879637590407,15.203724488950828,87.14716494848716,4.318702986147515,50.0,0.5,0.95,20,1000,20,0.3,1
5,5,10,0.12422000000000001,0.04887465191691906,3.52366,1.194213307746987,Hybrid-Ensemble,98.00788703699746,1.3402159994972465,84.33662969294951,12.287654424485817,96.3481745766245,1.3736254155651486,50.0,0.5,0.95,20,1000,20,0.3,1
5,5,10,0.63874,0.2040762416353261,0.0,0.0,Machines-Ensemble,89.43077462364677,7.885762296685906,52.138752602589506,17.821364942729872,82.24763642101951,5.637961201119104,50.0,0.7,0.95,20,1000,20,0.3,1
5,5,10,0.14805999999999997,0.060886914850401146,3.91122,1.4724251599317364,Hybrid-Ensemble,97.69103289518621,1.443150408535533,81.90191704326878,14.894194032383716,95.62609885883928,1.714862071123237,50.0,0.7,0.95,20,1000,20,0.3,1
5,5,10,0.8259400000000001,0.36318955987197643,0.0,0.0,Machines-Ensemble,80.23088005888255,12.022523296033889,56.118277366843905,16.7914632703949,76.24180500234931,10.489860901257659,50.0,0.9,0.95,20,1000,20,0.3,1
5,5,10,0.1785,0.08125743042946904,4.58714,1.9297608039340004,Hybrid-Ensemble,97.99542419341022,1.511475573560424,75.93467158027403,18.055393885178418,94.82992565621095,2.226064324496051,50.0,0.9,0.95,20,1000,20,0.3,1
5,5,10,0.18549999999999997,0.11603296945265168,0.0,0.0,Machines-Ensemble,99.6936295461059,0.35833005335725493,66.0144183370613,14.420231908413797,94.72001859532253,3.0288650254628258,50.0,0.0,0.95,20,1000,20,0.3,2
5,5,10,0.10088000000000001,0.057037755916585636,2.7538999999999993,0.5754331325184534,Hybrid-Ensemble,97.16314962970067,2.129294169464581,94.79208814879387,5.75840568155106,96.8915690212527,1.8085054069615376,50.0,0.0,0.95,20,1000,20,0.3,2
5,5,10,0.27856000000000003,0.10358902644585478,0.0,0.0,Machines-Ensemble,97.13861767934753,1.5491843351720342,62.41188244619268,11.810595341586703,92.04322759165092,2.792181361480615,50.0,0.2,0.95,20,1000,20,0.3,2
