worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num
5,5,10,0.12568000000000001,0.04776586228678385,3.01306,0.46090660268648787,Crowd-Ensemble,80.24262295151593,8.758178447191332,83.73684111384782,9.775167144400235,80.30188748583693,7.6324492716908265,0.0,0.0,0.95,20,1000,20,0.05,4
5,5,10,0.11572,0.09839187771355926,0.0,0.0,Machines-Ensemble,99.00799709129916,1.3916436762936433,44.050483628086894,20.733084213711688,85.6174418615128,10.165546846444592,50.0,0.0,0.95,20,1000,20,0.05,4
5,5,10,0.10578,0.053604212521032334,1.8958599999999999,0.4750243787428178,Hybrid-Ensemble,83.96456857768848,8.908251274587162,82.1240576765876,10.212029593003365,83.56930144289903,8.132057069790065,50.0,0.0,0.95,20,1000,20,0.05,4
5,5,10,0.15283999999999998,0.09699512565072535,0.0,0.0,Machines-Ensemble,93.88162104710632,3.7683065638009876,39.0381770401429,16.94240403615131,80.52536309340714,9.774229519580228,50.0,0.2,0.95,20,1000,20,0.05,4
5,5,10,0.11838000000000001,0.04919223109394409,1.97252,0.24471896044238176,Hybrid-Ensemble,82.1904861663863,8.325649463077687,76.3062827514503,8.558813550982622,81.43076646643189,7.4533492264333345,50.0,0.2,0.95,20,1000,20,0.05,4
5,5,10,0.19444,0.09403917481560543,0.0,0.0,Machines-Ensemble,88.25762473091642,4.925251039035442,35.65445972166951,15.770415622184872,75.29145774349992,9.81108973721625,50.0,0.3,0.95,20,1000,20,0.05,4
5,5,10,0.12398000000000002,0.04554316194556544,2.14338,0.3941327639260659,Hybrid-Ensemble,82.25694124185311,8.121713108453843,71.55719337660395,9.635974078716687,80.87015766980996,7.037377357562783,50.0,0.3,0.95,20,1000,20,0.05,4
5,5,10,0.28714,0.11779575713921109,0.0,0.0,Machines-Ensemble,72.30455232417094,13.665313899052235,32.02559518340168,15.039852159106688,61.99381473329586,11.71408538243387,50.0,0.5,0.95,20,1000,20,0.05,4
5,5,10,0.14407999999999999,0.050459028924465035,2.4983400000000002,0.4744005316185892,Hybrid-Ensemble,80.82672432188718,8.46315348094385,60.924261144367776,13.064816582766781,77.96661926569871,7.3040027354390045,50.0,0.5,0.95,20,1000,20,0.05,4
5,5,10,0.38622,0.17730587017919064,0.0,0.0,Machines-Ensemble,60.51104778835738,23.625411199517742,32.887658608654974,20.776902732561076,50.59923996904765,16.758917957848627,50.0,0.7,0.95,20,1000,20,0.05,4
