worker_tests,worker_tests,lr,loss_mean,loss_std,price_mean,price_std,algorithm,recall,recall_std,precision,precision_std,f_beta,f_beta_std,machine_tests,corr,select_conf,baseround_items,total_items,expert_cost,theta,filetrs_num
5,5,10,0.20972000000000002,0.07847803259511543,6.14772,0.3428127792250458,Crowd-Ensemble,95.46850314477932,2.8627394107958337,82.53106969413413,10.345644261062153,93.91691017287076,2.315422857183262,0.0,0.0,0.95,20,1000,10,0.3,4
5,5,10,0.13671999999999998,0.0914675986347078,0.0,0.0,Machines-Ensemble,99.12121753382804,0.8115096598866852,75.49650325580878,12.580903673429134,96.09295837671053,2.5403149818026725,50.0,0.0,0.95,20,1000,10,0.3,4
5,5,10,0.11167999999999999,0.05007851435496065,2.9344400000000004,0.42987933935000877,Hybrid-Ensemble,97.83062709901935,1.730443122448788,87.43691322367523,7.0234896382113075,96.70819699176106,1.4663977379019806,50.0,0.0,0.95,20,1000,10,0.3,4
5,5,10,0.27827999999999997,0.12459856178945244,0.0,0.0,Machines-Ensemble,94.73087965300965,3.0058653440478786,72.96754227614953,11.37373065555304,91.98458629757152,3.5301485520154774,50.0,0.2,0.95,20,1000,10,0.3,4
5,5,10,0.14944000000000002,0.052558599676932036,3.2924,0.48940743762227396,Hybrid-Ensemble,97.28445604196848,1.8943112632645116,82.81203193683659,8.3036732879685,95.6373698688917,1.5153802598531951,50.0,0.2,0.95,20,1000,10,0.3,4
5,5,10,0.48212000000000005,0.1658889556299635,0.0,0.0,Machines-Ensemble,88.73045600199806,4.909044911484097,68.92154465992108,10.640077658994036,86.24158246170366,4.729022382645398,50.0,0.3,0.95,20,1000,10,0.3,4
5,5,10,0.1816,0.08718348467456437,3.5539000000000005,0.7909073839584506,Hybrid-Ensemble,96.83157914247602,1.9250454797375494,80.67649802772927,10.63410448033183,94.82224948693667,2.2436480905086635,50.0,0.3,0.95,20,1000,10,0.3,4
5,5,10,0.9613999999999998,0.4158032707904064,0.0,0.0,Machines-Ensemble,74.17647341689418,14.492644764737191,63.883272080394256,15.520152573811544,72.21665526591673,12.171483695754702,50.0,0.5,0.95,20,1000,10,0.3,4
5,5,10,0.22968,0.12995082762337454,3.9987,0.9907293525479096,Hybrid-Ensemble,95.84794206803464,3.6949066728108115,77.55819594405189,11.811448840611144,93.45453424098301,3.5689562556190384,50.0,0.5,0.95,20,1000,10,0.3,4
5,5,10,1.4476399999999998,0.6310047467333348,0.0,0.0,Machines-Ensemble,57.14423394356253,23.317208265927466,62.42115592896682,15.98927765081243,56.19490490805505,20.0633393072947,50.0,0.7,0.95,20,1000,10,0.3,4
5,5,10,0.24034000000000003,0.09946247734698749,4.260959999999999,0.9555521746090059,Hybrid-Ensemble,96.10787731466684,2.7430750343231796,73.30256443265496,11.95539017553558,93.11038650600865,2.7696586853171445,50.0,0.7,0.95,20,1000,10,0.3,4
5,5,10,1.6452200000000001,0.6704796876863608,0.0,0.0,Machines-Ensemble,51.77427077009178,26.230495767300336,61.87140095189147,18.886168429609988,50.30873240933625,21.65376549347519,50.0,0.9,0.95,20,1000,10,0.3,4
5,5,10,0.25148000000000004,0.10756193378700478,4.51384,0.9536634072879174,Hybrid-Ensemble,95.78370081895426,3.0475460035229176,74.35868666257387,13.167767978881512,92.88692819904203,2.7904689321613585,50.0,0.9,0.95,20,1000,10,0.3,4
5,5,10,0.19628,0.07794204000409535,6.78348,0.3715926393243009,Crowd-Ensemble,95.37038585407983,2.8220533791735662,85.45452261918508,6.809612079707048,94.29307169472837,2.2799492134819426,0.0,0.0,0.95,20,1000,20,0.3,4
